"﻿Done",Item,Section,later,keller
No,"Petersilie getrocknet ",Gewürze,No,No
No,"Äpfel ",Früchte,Yes,No
No,Radieschen,Gemüse,Yes,No
No,Süsskartoffeln,Gemüse,Yes,No
No,Bohnen Konserve (weiss),Vorräte,Yes,No
No,"Tortillas ",Ethnic,Yes,No
No,Schwämme,Reinigung,Yes,No
No,Dettol Hygienereinigungstücher (WC),Haushalt,Yes,No
No,"Waschkugel ",Haushalt,Yes,No
Yes,Aprikosen,Früchte,No,No
Yes,"Bananen ",Früchte,No,No
Yes,Beeren,Früchte,No,No
Yes,Birne,Früchte,No,No
Yes,Clementinen,Früchte,No,No
Yes,Nektarinen/Pfirsiche,Früchte,No,No
Yes,Zitronen,Früchte,No,No
Yes,"Aubergine (5, ~1250g)",Gemüse,No,Yes
Yes,Avocados,Gemüse,No,No
Yes,"Bean sprouts ",Gemüse,No,No
Yes,Blumenkohl,Gemüse,No,No
Yes,Cellerie,Gemüse,No,No
Yes,Champignons,Gemüse,No,No
Yes,Cherry-Tomaten,Gemüse,No,No
Yes,Chinakohl (1kg),Gemüse,No,No
Yes,Frühlingszwiebeln,Gemüse,No,No
Yes,Gurke,Gemüse,No,No
Yes,Ingwer,Gemüse,No,No
Yes,Karotten,Gemüse,No,No
Yes,Knoblauch,Gemüse,No,No
Yes,Kohl,Gemüse,No,No
Yes,Kohlrabi,Gemüse,No,No
Yes,Lauch,Gemüse,No,No
Yes,Peperoni,Gemüse,No,No
Yes,Petersilienwurzel,Gemüse,No,No
Yes,Randen (gekocht),Gemüse,No,No
Yes,Salat,Gemüse,No,No
Yes,Schalotten (180g),Gemüse,No,No
Yes,Staudensellerie (100g),Gemüse,No,No
Yes,Tomaten (peretti → kochen),Gemüse,No,No
Yes,Zucchetti,Gemüse,No,No
Yes,Zwiebel,Gemüse,No,No
Yes,Dill,Kräuter,No,No
Yes,Maggi-Kraut,Kräuter,No,No
Yes,Petersilie,Kräuter,No,No
Yes,Schnittlauch,Kräuter,No,No
Yes,Brot,Brot,No,No
Yes,Milchbrötli,Brot,No,No
Yes,Schoggibrötli,Brot,No,No
Yes,Orangensaft,Säfte,No,No
Yes,Blätterteig,Teige,No,No
Yes,Hefe,Teige,No,No
Yes,Pizzateig,Teige,No,No
Yes,Hummus,Convenience,No,No
Yes,Grillkäse,Käse,No,No
Yes,Käse,Käse,No,No
Yes,Käse (pasteurisiert),Käse,No,No
Yes,Butter,Milchprodukte,No,No
Yes,creme fraiche,Milchprodukte,No,No
Yes,Feta,Milchprodukte,No,No
Yes,Frischkäse,Milchprodukte,No,No
Yes,Hüttenkäse / Cottage Cheese,Milchprodukte,No,No
Yes,Joghurt nature,Milchprodukte,No,No
Yes,"Mascarpone ",Milchprodukte,No,No
Yes,Milch,Milchprodukte,No,No
Yes,Mozzarella (per Pizza),Milchprodukte,No,No
Yes,"Quark (vollfett, 250g)",Milchprodukte,No,No
Yes,Rahm,Milchprodukte,No,No
Yes,Twaróg,Milchprodukte,No,No
Yes,Eier,Eier,No,No
Yes,Frankfurter / Wienerli,Fleisch,No,No
Yes,Paneer,Fleisch,No,No
Yes,Poulet,Fleisch,No,No
Yes,Rindsaftplätzli (1kg),Fleisch,No,No
Yes,Speck,Fleisch,No,No
Yes,Tofu,Fleisch,No,No
Yes,Ketchup,Saucen,No,No
Yes,Pesto,Saucen,No,No
Yes,Pesto rosso,Saucen,No,No
Yes,Senf,Saucen,No,No
Yes,Senf (scharf),Saucen,No,No
Yes,Tahini,Saucen,No,No
Yes,Aptamil,Baby,No,No
Yes,Babynahrung,Baby,No,No
Yes,Babyöl,Baby,No,No
Yes,"Wattepads (Baby, Milette)",Baby,No,No
Yes,Windeln (Gr. 2),Baby,No,No
Yes,Windeln (Gr. 5),Baby,No,No
Yes,Dill (getrocknet),Gewürze,No,No
Yes,Knoblauchpulver,Gewürze,No,No
Yes,Koriander ganz,Gewürze,No,No
Yes,Lorbeerblätter,Gewürze,No,No
Yes,MSG,Gewürze,No,No
Yes,Nelken,Gewürze,No,No
Yes,Paprikapulver geräuchert,Gewürze,No,No
Yes,Pfeffer,Gewürze,No,No
Yes,Rosmarin (getrocknet),Gewürze,No,No
Yes,"Salz (fluoridiert, iodiert)",Gewürze,No,No
Yes,Sternanis,Gewürze,No,No
Yes,Sumach,Gewürze,No,No
Yes,Thymian,Gewürze,No,No
Yes,Zimt,Gewürze,No,No
Yes,Zwiebelpulver,Gewürze,No,No
Yes,Kartoffelmehl o. -flakes,Backen,No,No
Yes,Mehl (Buchweizen),Backen,No,No
Yes,Mehl (Vollkorn),Backen,No,No
Yes,Mehl (weiss),Backen,No,Yes
Yes,Muffin mix,Backen,No,No
Yes,"Vanille Extrakt ",Backen,No,No
Yes,Zucker (braun),Backen,No,No
Yes,"Zucker (weiss, fein, 500g)",Backen,No,No
Yes,Chips,Snacks,No,No
Yes,Nüsse,Nüsse,No,No
Yes,"Pistazien ",Nüsse,No,No
Yes,Aceto Balsamico,Vorräte,No,No
Yes,Ananas,Vorräte,No,No
Yes,Apfelessig,Vorräte,No,No
Yes,Balsamicozwiebeln,Vorräte,No,No
Yes,Buchweizen,Vorräte,No,No
Yes,Buchweizenflocken,Vorräte,No,No
Yes,Dinkelflocken,Vorräte,No,No
Yes,"Essig (Reis, schwarz)",Vorräte,No,No
Yes,Essig (Reis),Vorräte,No,No
Yes,Essig (Weisswein),Vorräte,No,No
Yes,Essiggurken,Vorräte,No,No
Yes,Granola,Vorräte,No,No
Yes,Hefeflocken,Vorräte,No,No
Yes,Hirse,Vorräte,No,No
Yes,Honig,Vorräte,No,No
Yes,Kichererbsen Dose,Vorräte,No,No
Yes,Knäckebrot,Vorräte,No,No
Yes,Kondensmilch,Vorräte,No,No
Yes,Konfitüre,Vorräte,No,No
Yes,Linsen Beluga (450g abtropf),Vorräte,No,No
Yes,Mais,Vorräte,No,No
Yes,Müsli (Protein),Vorräte,No,No
Yes,"Nussmuss (Mandel, Erdnuss)",Vorräte,No,No
Yes,"Öl (Oliven, Brat)",Vorräte,No,No
Yes,"Öl (Oliven, extra vergine)",Vorräte,No,No
Yes,Öl (Raps),Vorräte,No,No
Yes,Oliven,Vorräte,No,No
Yes,Pasta,Vorräte,No,No
Yes,Pasta (frisch),Vorräte,No,No
Yes,Pinienkerne,Vorräte,No,No
Yes,Popcorn,Vorräte,No,Yes
Yes,Preiselbeeren,Vorräte,No,No
Yes,Ramen,Vorräte,No,No
Yes,Reis (langkorn),Vorräte,No,No
Yes,Reis (Risotto Carnaroli o. Arborio),Vorräte,No,Yes
Yes,Sardellen,Vorräte,No,No
